1 input_9_1_1 AGM6 Test Case.asc - no wind ' AGM6 ' Jan 22 2018 17:05:30
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
-0.0847199      1110            0               250.005         0.758254        
0               0               6.50453         0.0744966       1.72362         
3               0               0.0116415       -0.00885954     0               
0               0.0571895       3.08424         0               0.00828167      
0.0130245       0               0               1.58692         9.85814e-006    
7.6094e-006     9.74913e-006    0.00398928      -0.00317253     0.000832126     
0.27302         -0.589582       0.273447        18.1692         -22.6458        
28.8088         0.650822        -0.00217705     -0.00217705     0.650822        
1.13781         -12.8505        2               0               0               
-0.00179058     -1.66324        0.270932        0.23013         -0.230115       
0.0026314       0               0.220985        0               0               
100             6               1               
3.002           0               0.929893        25030           0               
0               0               0               -5.70181        0.0223382       
0.0442746       -175.273        -0.0437048      -0.00361368     -0.000506457    
-1.92401        0.00173811      873.948         0.0109569       -6957.31        
290.58          6957.31         0.00169329      -5.6581         -0.00345114     
0.000343911     1360            11199.5         0.00242707      0.525937        
0               0               2.69401         0.0500992       2.24431         
2.24827         0               0               0               0               
0               0               0               0               0               
0               0               0               5.27748         -1.04595e-005   
-4.67358e-006   9.56158e-006    0.00120562      -0.00342725     0.000272338     
0.0518496       0.0240642       -0.00661979     4.67145         -1.01087        
-10.3311        1.41506         0.188195        0.188195        1.41506         
17.0025         -6.19976        2               0               0               
-2.21433e-006   0.0169386       -0.00210371     0               0               
0               0               34334.2         0               0               
100             7               1               
79.213          0               1.21252         56219.4         0               
0               0               27.7813         -31.768         -0.0371414      
0.779165        -117.327        -0.357702       -0.692193       0.0876402       
-1.50015        0.171186        28959.7         7341.99         -4919.88        
389.062         4919.88         26.9701         -31.4081        -0.086403       
0.158896        1110            0               250.005         0.677465        
0               0               4.76989         0.0587077       2.7925          
3               0               -0.00759084     0.000603981     -0.213119       
0.0183214       0.214238        3.05649         0               0.000181244     
-0.00740726     -0.091289       0.0089294       1.37413         -9.35951e-006   
-4.07778e-006   8.15531e-006    0.00225929      -0.00276988     0.000835011     
0.135271        -0.251556       0.359378        11.2455         -13.5973        
6.09952         -2.98471        0.30254         1.01574         -10.0208        
1.31016         -12.5868        2               0               0               
-1.7706e-006    0.218948        -0.364619       0               0               
0               0               6886.26         0               0               
100             7               1               
97.429          2               1.10046         84879.7         0               
0               0               30.0414         -45.2931        0.132271        
2.97194         3.8718          2.96516         0.200588        -0.301877       
1.96927         -1.01332        33340           9760.25         -99.8578        
374.056         99.8578         30.3338         -48.2598        1.0697          
-0.0715342      1110            0               250.005         0.75844         
0               0               6.50536         0.0744949       1.71887         
3               0               0.0110284       -0.00787353     0               
0               0.0579235       3.09065         0               0.00722138      
0.0130057       0               0               -0.304875       -3.84718e-006   
-6.02616e-006   -5.01254e-006   0.000287978     -0.00232517     0.00945071      
0.116133        -0.259048       0.43327         13.9501         -18.1076        
13.1697         0.650757        -0.00194776     -0.00194776     0.650757        
1.31016         -12.5868        2               0               0               
-0.00161981     -1.6749         0.234547        0.22004         -0.219987       
-0.00483655     0               0.190708        0               0               
100             7               1               
3.002           0               0.929894        25030.1         0               
0               0               0               -5.70642        -0.011373       
0.047263        -177.489        -0.0468241      -0.00205312     0.00105572      
-1.92417        0.000243676     873.947         0.0067586       -6957.3         
290.581         6957.3          0.00102466      -5.6596         -0.00369681     
0.000195971     1360            11199.5         0.00242707      0.525961        
0               0               2.69422         0.050099        2.24405         
2.24828         0               0               0               0               
0               0               0               0               0               
0               0               0               -6.53441        1.78832e-005    
-2.20663e-006   1.66042e-006    0.00152149      -0.00199931     -0.00228301     
0.0399783       0.0525982       -0.0321617      10.0197         -1.50152        
1.00299         1.41976         0.185292        0.185292        1.41976         
16.9841         -6.00241        2               0               0               
2.03151e-006    0.0180616       -0.0011844      0               0               
0               0               34334.2         0               0               
100             8               1               
79.118          0               1.21261         56420           0               
0               0               27.9175         -31.5128        0.00734362      
0.818238        -103.268        -0.187799       -0.796385       0.142346        
-1.34472        0.214969        28943.2         7319.33         -4894.14        
389.215         4894.14         26.9853         -31.3215        -0.0452027      
0.182646        1110            0               250.005         0.677431        
0               0               4.77982         0.0587978       2.78132         
3               0               -0.00727678     0.000838193     -0.21282        
0.0182485       0.21325         3.05916         0               -0.000575531    
